Rank,URL,SourcePath,ContentDir,Total,Input,Output,Tested,Testable,Maybe,Error
1,https://www.mongodb.com/docs/manual/about/,manual/manual/source/about.txt,manual,0,0,0,0,0,0,
2,https://www.mongodb.com/docs/manual/administration/,manual/manual/source/administration.txt,manual,0,0,0,0,0,0,
3,https://www.mongodb.com/docs/manual/administration/analyzing-mongodb-performance/,manual/manual/source/administration/analyzing-mongodb-performance.txt,manual,0,0,0,0,0,0,
4,https://www.mongodb.com/docs/manual/administration/backup-sharded-clusters/,manual/manual/source/administration/backup-sharded-clusters.txt,manual,0,0,0,0,0,0,
5,https://www.mongodb.com/docs/manual/administration/change-streams-production-recommendations/,manual/manual/source/administration/change-streams-production-recommendations.txt,manual,0,0,0,0,0,0,
6,https://www.mongodb.com/docs/manual/administration/configuration-and-maintenance/,manual/manual/source/administration/configuration-and-maintenance.txt,manual,0,0,0,0,0,0,
7,https://www.mongodb.com/docs/manual/administration/configuration/,manual/manual/source/administration/configuration.txt,manual,14,0,0,0,0,6,
8,https://www.mongodb.com/docs/manual/administration/connection-pool-overview/,manual/manual/source/administration/connection-pool-overview.txt,manual,0,0,0,0,0,0,
9,https://www.mongodb.com/docs/manual/administration/deploy-manage-self-managed-replica-sets/,manual/manual/source/administration/deploy-manage-self-managed-replica-sets.txt,manual,0,0,0,0,0,0,
10,https://www.mongodb.com/docs/manual/administration/deploy-manage-self-managed-sharded-clusters/,manual/manual/source/administration/deploy-manage-self-managed-sharded-clusters.txt,manual,0,0,0,0,0,0,
11,https://www.mongodb.com/docs/manual/administration/free-monitoring/,manual/manual/source/administration/free-monitoring.txt,manual,0,0,0,0,0,0,
12,https://www.mongodb.com/docs/manual/administration/full-time-diagnostic-data-capture/,manual/manual/source/administration/full-time-diagnostic-data-capture.txt,manual,1,0,0,0,0,0,
13,https://www.mongodb.com/docs/manual/administration/health-managers/,manual/manual/source/administration/health-managers.txt,manual,12,0,0,0,0,8,
14,https://www.mongodb.com/docs/manual/administration/install-community/,manual/manual/source/administration/install-community.txt,manual,189,0,0,0,0,171,
15,https://www.mongodb.com/docs/manual/administration/install-enterprise-linux/,manual/manual/source/administration/install-enterprise-linux.txt,manual,0,0,0,0,0,0,
16,https://www.mongodb.com/docs/manual/administration/install-enterprise/,manual/manual/source/administration/install-enterprise.txt,manual,0,0,0,0,0,0,
17,https://www.mongodb.com/docs/manual/administration/monitoring/,manual/manual/source/administration/monitoring.txt,manual,9,0,0,0,0,9,
18,https://www.mongodb.com/docs/manual/administration/performance-tuning/,manual/manual/source/administration/performance-tuning.txt,manual,0,0,0,0,0,0,
19,https://www.mongodb.com/docs/manual/administration/production-checklist-development/,manual/manual/source/administration/production-checklist-development.txt,manual,0,0,0,0,0,0,
20,https://www.mongodb.com/docs/manual/administration/production-checklist-operations/,manual/manual/source/administration/production-checklist-operations.txt,manual,0,0,0,0,0,0,
21,https://www.mongodb.com/docs/manual/administration/production-notes/,manual/manual/source/administration/production-notes.txt,manual,28,0,0,0,0,23,
22,https://www.mongodb.com/docs/manual/administration/query/,manual/manual/source/administration/query.txt,manual,0,0,0,0,0,0,
23,https://www.mongodb.com/docs/manual/administration/replica-set-deployment/,manual/manual/source/administration/replica-set-deployment.txt,manual,0,0,0,0,0,0,
24,https://www.mongodb.com/docs/manual/administration/replica-set-maintenance/,manual/manual/source/administration/replica-set-maintenance.txt,manual,0,0,0,0,0,0,
25,https://www.mongodb.com/docs/manual/administration/replica-set-member-configuration/,manual/manual/source/administration/replica-set-member-configuration.txt,manual,0,0,0,0,0,0,
26,https://www.mongodb.com/docs/manual/administration/security-checklist/,manual/manual/source/administration/security-checklist.txt,manual,0,0,0,0,0,0,
27,https://www.mongodb.com/docs/manual/administration/self-managed-administration/,manual/manual/source/administration/self-managed-administration.txt,manual,0,0,0,0,0,0,
28,https://www.mongodb.com/docs/manual/administration/self-managed-configuration-and-maintenance/,manual/manual/source/administration/self-managed-configuration-and-maintenance.txt,manual,0,0,0,0,0,0,
29,https://www.mongodb.com/docs/manual/administration/self-managed-performance/,manual/manual/source/administration/self-managed-performance.txt,manual,0,0,0,0,0,0,
30,https://www.mongodb.com/docs/manual/administration/self-managed-sharded-cluster-admin/,manual/manual/source/administration/self-managed-sharded-cluster-admin.txt,manual,0,0,0,0,0,0,
31,https://www.mongodb.com/docs/manual/administration/sharded-cluster-administration/,manual/manual/source/administration/sharded-cluster-administration.txt,manual,0,0,0,0,0,0,
32,https://www.mongodb.com/docs/manual/administration/tcmalloc-performance/,manual/manual/source/administration/tcmalloc-performance.txt,manual,19,0,0,0,0,18,
33,https://www.mongodb.com/docs/manual/administration/upgrade-community-to-enterprise/,manual/manual/source/administration/upgrade-community-to-enterprise.txt,manual,0,0,0,0,0,0,
34,https://www.mongodb.com/docs/manual/aggregation/,manual/manual/source/aggregation.txt,manual,5,0,0,0,0,5,
35,https://www.mongodb.com/docs/manual/appendix/security/,manual/manual/source/appendix/security.txt,manual,0,0,0,0,0,0,
36,https://www.mongodb.com/docs/manual/appendix/security/appendixA-openssl-ca/,manual/manual/source/appendix/security/appendixA-openssl-ca.txt,manual,7,0,0,0,0,6,
37,https://www.mongodb.com/docs/manual/appendix/security/appendixB-openssl-server/,manual/manual/source/appendix/security/appendixB-openssl-server.txt,manual,8,0,0,0,0,7,
38,https://www.mongodb.com/docs/manual/appendix/security/appendixC-openssl-client/,manual/manual/source/appendix/security/appendixC-openssl-client.txt,manual,8,0,0,0,0,7,
